word	freq	tone	vowel	rhyme	coda	heavy_syllable	average_info
xu2	72	2	u	u	NA	F	11.522323169
she3	37	3	e	e	NA	F	9.61466442587
ha3n	129	3	a	an	n	T	9.54451195451
ha3o	3764	3	ao	ao	NA	T	6.5138402608
lo3ng	34	3	o	ong	ng	T	10.8623269715
ha3i	2141	3	ai	ai	NA	T	7.2601640835
ma3	1659	3	a	a	NA	F	7.95991754272
she3n	518	3	e	en	n	T	9.81943297887
ha1i	5	1	ai	ai	NA	T	16.3740789291
tua1n	1	1	ua	uan	n	T	14.2032203512
pa4i	631	4	ai	ai	NA	T	8.18049060972
sha1i	13	1	ai	ai	NA	T	12.3578540613
sha1n	953	1	a	an	n	T	8.02099271831
sha1o	325	1	ao	ao	NA	T	9.39172621013
qia4n	172	4	ia	ian	n	T	4.17459900003
qia4o	9	4	iao	iao	NA	T	10.9503162352
do3ng	58	3	o	ong	ng	T	11.2859582728
ma3ng	5	3	a	ang	ng	T	7.93001873822
pia1n	316	1	ia	ian	n	T	7.95145736812
la1o	23	1	ao	ao	NA	T	6.91162588673
zha4	596	4	a	a	NA	F	5.68542268014
de2	2722	2	e	e	NA	F	6.88184425455
zha1	214	1	a	a	NA	F	7.09509927669
zha2	47	2	a	a	NA	F	9.00038572446
do1ng	1903	1	o	ong	ng	T	7.55765686532
fe1i	2967	1	ei	ei	NA	T	7.98598537165
jia2o	1	2	iao	iao	NA	T	10.0424086854
fe1n	3532	1	e	en	n	T	6.42570425786
liu3	40	3	iu	iu	NA	T	10.9047522301
ro2u	29	2	ou	ou	NA	T	10.6875493149
e2	1434	2	e	e	NA	F	7.80492740199
bi1n	529	1	i	in	n	T	5.00845384436
re2ng	435	2	e	eng	ng	T	10.0980218719
yo1u	534	1	ou	ou	NA	T	9.61712725724
hu1n	96	1	u	un	n	T	11.0328990626
ha4i	282	4	ai	ai	NA	T	6.31134514703
ze4ng	48	4	e	eng	ng	T	8.30737526045
ha4o	4027	4	ao	ao	NA	T	4.68956923644
ha4n	469	4	a	an	n	T	7.6854621038
do1u	30	1	ou	ou	NA	T	9.52937148451
ju1n	4433	1	u	un	n	T	6.43383542146
fe3i	26	3	ei	ei	NA	T	9.21523548688
hui2	1369	2	ui	ui	NA	T	8.61931946453
hui3	173	3	ui	ui	NA	T	5.69175240838
hui1	995	1	ui	ui	NA	T	6.20456429282
xue2	2400	2	ue	ue	NA	T	7.00080125596
xue3	491	3	ue	ue	NA	T	7.44606685433
go4ng	2070	4	o	ong	ng	T	8.18498112248
na3i	157	3	ai	ai	NA	T	7.49471413396
zi3	1843	3	i	i	NA	F	5.70034529434
ya3ng	348	3	a	ang	ng	T	7.85135639202
zi1	1420	1	i	i	NA	F	7.5343319488
lo2u	234	2	ou	ou	NA	T	8.70120751644
kui2	34	2	ui	ui	NA	T	9.5405500427
kui1	21	1	ui	ui	NA	T	11.7007394009
yu2n	403	2	u	un	n	T	7.99164006695
na3o	201	3	ao	ao	NA	T	6.49862572218
ga4n	228	4	a	an	n	T	9.90190170738
ga4o	869	4	ao	ao	NA	T	6.08222739741
ga4i	393	4	ai	ai	NA	T	7.32913685857
za1i	285	1	ai	ai	NA	T	8.98036199224
hua2i	219	2	uai	uai	NA	T	9.75719461988
pia4n	345	4	ia	ian	n	T	8.30525579985
ma1	146	1	a	a	NA	F	6.02481713924
mi2n	5157	2	i	in	n	T	5.76459099299
ma2	706	2	a	a	NA	F	9.59267206533
ma4	22	4	a	a	NA	F	9.34276066624
qua2n	5108	2	ua	uan	n	T	6.27671126962
so3u	1	3	ou	ou	NA	T	6.17583035314
wa2n	976	2	a	an	n	T	9.40208030943
ba3n	384	3	a	an	n	T	8.32287481913
chu1n	480	1	u	un	n	T	8.08578182843
ca2i	1820	2	ai	ai	NA	T	7.33581667809
zha3o	300	3	ao	ao	NA	T	9.63910009204
zha3n	3118	3	a	an	n	T	4.22348986461
tie3	507	3	ie	ie	NA	T	8.50537602081
la4	294	4	a	a	NA	F	7.37843905629
ba3o	2499	3	ao	ao	NA	T	7.35479733095
tie1	119	1	ie	ie	NA	T	7.44177235701
xia4o	1262	4	iao	iao	NA	T	7.07583411301
xia4n	7439	4	ia	ian	n	T	6.3388886387
di1ng	142	1	i	ing	ng	T	9.729280516
ba3i	3538	3	ai	ai	NA	T	5.89151022214
gua4ng	5	4	ua	uang	ng	T	11.5494473517
ni1	2	1	i	i	NA	F	8.95081550297
she1ng	5566	1	e	eng	ng	T	5.60444795846
e2r	3293	2	e	er	r	T	7.5337421156
di	16	NA	i	i	NA	F	9.01091227277
la1	2954	1	a	a	NA	F	5.92860778376
fe2i	41	2	ei	ei	NA	T	10.9670327312
pi1	747	1	i	i	NA	F	8.43321017593
li4n	1	4	i	in	n	T	10.384763735
tie4	17	4	ie	ie	NA	T	10.1931816015
she3ng	720	3	e	eng	ng	T	7.65095985902
suo1	193	1	uo	uo	NA	T	7.57619570381
la3	8	3	a	a	NA	F	9.11664753978
bo3	10	3	o	o	NA	F	6.6700305038
lie3	1	3	ie	ie	NA	T	11.8250625754
zho2u	21	2	ou	ou	NA	T	9.70217315715
ta4	62	4	a	a	NA	F	10.3604680982
fe2ng	101	2	e	eng	ng	T	9.89443592377
ta1	10425	1	a	a	NA	F	6.03105285585
ta3	421	3	a	a	NA	F	8.51584077338
chi2	2050	2	i	i	NA	F	5.20006499023
chi3	64	3	i	i	NA	F	8.73040313271
pa3o	177	3	ao	ao	NA	T	10.6148967995
za4ng	212	4	a	ang	ng	T	7.36844435449
chi4	70	4	i	i	NA	F	10.4862851636
zuo3	335	3	uo	uo	NA	T	9.11710232458
xua1n	827	1	ua	uan	n	T	9.454854483
ho2u	53	2	ou	ou	NA	T	10.0925726397
lia4ng	1114	4	ia	iang	ng	T	7.01423767545
sa4i	837	4	ai	ai	NA	T	6.49269156314
ra4o	115	4	ao	ao	NA	T	7.64928400648
he4ng	3	4	e	eng	ng	T	4.42813835238
wa2ng	1101	2	a	ang	ng	T	6.37740377287
si3	809	3	i	i	NA	F	8.05790883625
si1	4325	1	i	i	NA	F	4.729494359
shuo1	5929	1	uo	uo	NA	T	6.40533514403
liang	2	NA	ia	iang	ng	T	10.0192984666
zho1u	2515	1	ou	ou	NA	T	6.3647873332
shuo4	62	4	uo	uo	NA	T	10.4299811162
si4	3496	4	i	i	NA	F	7.05486171807
zha1n	178	1	a	an	n	T	10.4797213986
fu	1	NA	u	u	NA	F	10.7679883553
re2n	10577	2	e	en	n	T	5.86757917564
wa4ng	1304	4	a	ang	ng	T	4.25070375457
tia2o	1604	2	iao	iao	NA	T	7.49233678595
tia2n	226	2	ia	ian	n	T	9.23009159701
yi3n	901	3	i	in	n	T	9.11050946108
gua4i	54	4	uai	uai	NA	T	10.0057555287
we1n	833	1	e	en	n	T	7.61785753649
la4o	11	4	ao	ao	NA	T	9.23606493095
la4n	50	4	a	an	n	T	7.29012528466
la4i	330	4	ai	ai	NA	T	7.99152743316
bie1	5	1	ie	ie	NA	T	11.6663683849
we1i	933	1	ei	ei	NA	T	8.79346027303
ko1u	2	1	ou	ou	NA	T	11.2824020173
